time,n_unoccupied,n_occupied
0,0,21353
1,746,20607
2,834,20519
3,893,20460
4,927,20426
5,946,20407
6,965,20388
7,976,20377
8,980,20373
9,983,20370
10,988,20365
11,993,20360
12,997,20356
13,1006,20347
14,1019,20334
15,1027,20326
16,1040,20313
17,1052,20301
18,1057,20296
19,1062,20291
20,1066,20287
21,1072,20281
22,1076,20277
23,1078,20275
24,1085,20268
25,1089,20264
26,1091,20262
27,1094,20259
28,1477,19876
29,1508,19845
30,1533,19820
31,1611,19742
32,1699,19654
33,1758,19595
34,1803,19550
35,1843,19510
36,1889,19464
37,1926,19427
38,1942,19411
39,1967,19386
40,1979,19374
41,1990,19363
42,2000,19353
43,2004,19349
44,2013,19340
45,2014,19339
46,2020,19333
47,2024,19329
48,2028,19325
49,2633,18720
50,2799,18554
51,2968,18385
52,3109,18244
53,3254,18099
54,3381,17972
55,3517,17836
56,3646,17707
57,3758,17595
58,3836,17517
59,3913,17440
60,3997,17356
61,4093,17260
62,4178,17175
63,5018,16335
64,5331,16022
65,5583,15770
66,5801,15552
67,5988,15365
68,6132,15221
69,6263,15090
70,6380,14973
71,6505,14848
72,6592,14761
73,6675,14678
74,6743,14610
